Game Title,Designer,Publisher,Free or Paid,Price,Number of Players,Playtime,Age Range,Theme,Main Mechanism,Secondary Mechanism,Gameplay Complexity,Gameplay Mode,Game Category,PnP Crafting Challenge Level,One-Sentence Short Description,Long Description,Download Link,Secondary Download Link,Print Components,Other Components,Languages,Release Year,Game Image,Curated Lists,Report Dead Link
Do Not Go Gentle,Martin Gonzalvez,Web Published,Free,,1,up to 60 minutes,14+,Post-Apocalyptic / Zombie,Worker Placement,Resource Production,MEDIUM,,,"Expert Crafting (100's of cards, many boards, many tiles and tokens, unique elements)","Fight, scavenge, and struggle to survive in this harsh post-apocalyptic Euro game.","Do Not Go Gentle is a solitaire post-apocalyptic game of worker placement, base building, hand management, scavenging, and survival. The game is played over six rounds. Your goal is to survive with at least one building left standing and one worker left alive at the end of six rounds. The game is played on a 9 x 9 map. You start the game with three basic building tiles: a basic farm, basic workshop, and basic weapons shop. Each round, you place survivors on building tiles to produce benefits to your compound (food, barricades, weapons, meds, and repairs ). At the end of each round, a vicious mob of marauders will attack the compound.",https://boardgamegeek.com/thread/3097913/wip-do-not-go-gentle-2023-solitaire-print-and-play,,"2 Boards, many cards, many tokens","cubes, pawns",English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/Ea78cfuDpfx6mPymYPCZ.jpg,,help@pnpfinder.com
Pellinoria,Julian Anstey,,Free,,2+,up to 60 minutes,8+,Historical,Dice Placement,,LIGHT,,,Simple Cuts (a few cards or tiles),"Pellinoria, land of knights, dragons, jesters and jousts, gold and chivalry","The game is played over 4 years of 4 seasons each. Before each year, the cards are laid out so that each corresponds to a number. Then, during each season, the players roll their dice, assign pairs of them to cards that match the value rolled and take the relevant actions. At the end of the game, the player with most victory points is the winner.",https://boardgamegeek.com/filepage/95561/pellinoria-basic-cards,,20 cards 9 tiles,16 dice - 4 in each player colour ~30 tokens in 4 coulours,"English, Spanish, Italian, French",2013,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/cGwgFD6v6fgGevniqg85.jpg,,help@pnpfinder.com
The Big Cheese,"James Ernest, Jon Wilkie",Cheapass Games,Name your price,,3+,up to 45 minutes,8+,Animals / Nature,Push Your Luck,Dice Rolling,LIGHT,,,Simple Cuts (a few cards or tiles),Manage your company of rats.,"An auction game in which players bid from their pool of ""worker rats"" to gain control of corporate projects. The workers from the winning bid are then are assigned to the project. Each turn, one worker is removed from each project. A project is complete once all workers have been removed. The value of a numbered project is only determined at completion by a die roll. Two other projects, Veto and The Big Cheese, allow special actions during the game. The game has two different scoring schemes, depending on whether players use a single six-sided die or a set of seven polyhedral dice.",https://crabfragmentlabs.com/shop/p/big-cheese,,36 cards,a set of polyhedral dice 10 tokens for each player,English,1998,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/16SifzdRtgCEvPEARYvL.jpg,,help@pnpfinder.com
Encyclopedia,"Eric Dubus, Olivier Melison",Holy Grail Games,Free,,1-4,up to 120 minutes,12+,Animals / Nature,Dice Placement,Set Collection,MEDIUM,,,"Expert Crafting (100's of cards, many boards, many tiles and tokens, unique elements)",Set out to study the world's most fascinating creatures!,"Encyclopedia is a dice-based worker placement game. At the beginning of each round, you’ll be drawing and rolling dice, then placing them on your player board. These dice can then be used to perform an action each turn, depending on their color and value. Your action can be preparing your expeditions by going to the Embassy, visiting the Bank to raise funds, or hiring your research team at the University. Once you’re ready to go, you’ll choose the Animal cards you wish to study, then organize expeditions to observe them in their natural habitats. When your research is complete, you’ll then be able to publish your findings in an attempt to become the biggest contributor to Buffon’s Encyclopedia. Every publication you make will earn you Victory points, and at the end of the game, you’ll score points based on collections of Animals and research amassed during play. The naturalist with the most points wins!",https://boardgamegeek.com/boardgame/351526/encyclopedia/files,,"Boards, cards, tiles, tokens","Coins, cubes",English,2022,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/iuzxddYAMuWErxMxMrzu.webp,,help@pnpfinder.com
The Kingswood,Alan Wong,,Free,,2+,up to 90 minutes,12+,Animals / Nature,Action Selection,Tile Placement,MEDIUM,,,"Advanced Crafting (many cards, folding boards, tiles, circle tokens)",Merchants try to get rich in Kingswood.,"The Kingswood is a tile placement and role choosing game for 2-4 players. You play as a great merchant house, trying to build roads - or pave over existing ones - to gain gold from the treasure at the heart of the Kingswood. You will also attempt to call on a number of professions to help you with your task. Gain the best routes, while also avoid competing too heavily for the same professions and paths, and you'll be able to gain enough gold to buy the deed of the Kingswood and win.",https://boardgamegeek.com/filepage/112729/the-kingswood-print-and-play-printer-friendly-vers,,A board made of 4 parts 84 tiles 24 cards 4 counters,8 + 4 tokens,English,2015,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/a60lGNtsRLUHNw2SJZiM.png,,help@pnpfinder.com
Jurassic Roll,Sébastien AUBRY,self-published,Free,,1-100,up to 20 minutes,8+,Animals / Nature,Flip & Write / Roll & Write,,LIGHT,,,Quick Print (no crafting required),Roll dice and catch the best dinosaurs before they disappear... for ever.,"Scientists do not all agree on the chronology of the events ... the volcano then the meteorites or the reverse. However, one thing is certain, the dinosaurs have indeed disappeared! Certain ? Not quite ... You have just been sent a few hours before their disappearance. Your mission ? Save the best specimens in order to bring the dinosaurs back to life and link your destiny to that of the glorious Tyrannosaurs ... or fail and join that of the Erliansorus ... Which one ?! Will you be up to the event? Jurassic Roll is a fast roll & write game with a little part of betting and a lot of combos. It was created for the 9th BGG Roll & Write Contest. It won 4 prizes.",https://boardgamegeek.com/boardgame/408267/jurassic-roll,,2 player sheets / page,"4 six-sided dice (including 1, if possible, of a different color)","English, French, Spanish",2021,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/E0hwB73GDKEfWjmWzQ06.jpg,,help@pnpfinder.com
Aquarium Trading,Jeremiah Brammer,Self-Published,Free,,2,up to 10 minutes,10+,Animals / Nature,Multi-use Cards,Hand Management,LIGHT,,,Simple Cuts (a few cards or tiles),"Breed your fish, buy new fish, and sell them for money!","In Aquarium Trading, you and another amateur aquarist are competing with each other to have the best collection of fish after 1 month. Gameplay: On your turn, You will first breed your fish by rotating your fish cards 90 degrees clockwise, then you will choose a card from your hand and play it either as a goal or as fish. After you have played a fish or goal, you will pass one of your cards to your opponent, and finally keep one for yourself. If you play the card as a goal, rotate the fish cards indicated 90 degrees counterclockwise and put the goal off to the side. If you play it as more fish, rotate fish of your choosing until the coin amounts equal out, then flip the card with the fish you are buying and rotate it to the amount shown on the front of the card. Game End and Scoring: When the deck runs out, the game ends and you score your points by counting up the goals that you have completed, and adding up how many fish you have.",https://boardgamegeek.com/boardgame/427719/aquarium-trading/files,,"18 Cards, Rulebook",,English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/cdKYXKy21q1miGwIOh88.png,,help@pnpfinder.com
Bury Me in the Rift,Mathew Bishop,Mathew Bishop,Free,,1,up to 90 minutes,10+,Science Fiction,Action Selection,Dice Placement,LIGHT,,,Simple Cuts (a few cards or tiles),"Using 2 mechs, protect cities from giant monsters across a 6-game campaign.","Invasion! Your squad of 2 mechs must protect cities from giant monsters, while completing goals to earn upgrades across a 6-game campaign. This game is shamelessly inspired by the excellent video game Into the Breach, by Subset Games.",https://www.pnparcade.com/products/bury-me-in-the-rift,,Cards and Tokens,"4 dice, 4 meeples in different colors. And 4 cubes in those colors",English,2019,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/x6cAZEazjCnDzMzVkLNm.png,STAFF PICKS,help@pnpfinder.com
Doomgloom Dungeon,Andy Nicholas,MadLad Designs,Free,,1,up to 20 minutes,10+,Dungeon Crawl,Card Play,Push Your Luck,LIGHT,,,Simple Cuts (a few cards or tiles),Doomgloom Dungeon is a light and quick solo 'card dungeon crawler'.,"The dungeons of Doomgloom are said to be treacherous, in fact, those “brave adventurers” who’ve said “Doomgloom dungeon? No problem.” have never been seen again. No one knows what lies in Doomgloom dungeon as no one has ever returned to tell the tale but you’re about to change all that. Having trained for many years and been through many adventures you think it’s time you tackled the ultimate adventure that is Doomgloom Dungeon.",https://boardgamegeek.com/boardgame/208938/doomgloom-dungeon/files,,64 Cards,20-sided Die,English,2016,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/s9CbCFMTWup6oqVQmRRY.webp,,help@pnpfinder.com
Dungeon Pages Core Set,Jason Greeno & Jason Tagmire,PNP Arcade,Paid,$6.00,1,up to 30 minutes,10+,Dungeon Crawl,Flip & Write / Roll & Write,Grid Movement,LIGHT,,,Simple Cuts (a few cards or tiles),"A highly modular solo, roll & write game of dungeon delving and battling","Dungeon Pages is a solo tactical, roll & write game of dungeon delving and monster battling. Gather gold and potions to help you overcome increasingly difficult dungeons, traps and threats. Advance your character by gaining experience, new weapons and powerful relics.",https://www.pnparcade.com/products/dungeon-pages-core-set?_pos=1&_sid=6d7a34327&_ss=r,,"6 character/dungeon sheets, rules","3 D6 white (Good Dice), 3 D6 black (Evil Dice)",English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/xm0TgCtcWfiYWlOhv57h.webp,2023 BGG GOLDEN GEEK BEST PNP NOMINEES,help@pnpfinder.com
Ada Lovelace: Consulting Mathematician,Robin David,,Free,,1,up to 20 minutes,10+,Crime / Mystery / Detective,Puzzle Solving,Dice Management,LIGHT-MEDIUM,,,Quick Print (no crafting required),Roll dice and draw polyomino shapes to discover evidence and find a thief.,"It is the summer of 1842 and the finest mathematicians from around the world have gathered at The Archimedes’ Museum of Mathematics for a grand soiree! Amidst all the merriment, a terrible crime occurs — the robbery of the priceless Lebombo Bone artefact. Only Ada Lovelace — pioneer of the Analytical Machine and part-time sleuth — is up to the challenge of solving the crime! In Ada Lovelace: Consulting Mathematician, players assemble polyomino pieces on a map of the Archimedes’ Museum of Mathematics, aiming to capture key pieces of criminal evidence. Doing so may grant the player extra abilities they can use in future turns, allowing them to more efficiently search the map. After five rounds, the player scores points based on how many pieces of evidence were captured, how many rooms were searched, and how many abilities were unlocked. Ada Lovelace: Consulting Mathematician is a solo roll-and-write game. It was a finalist in the GenCan't Roll and Write Contest, 2017.",https://boardgamegeek.com/filepage/177944/rules-and-sheet-pnp,,,,English,2017,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/89isn4DgtIMqNumQcZHI.jpg,,help@pnpfinder.com
